Bezirk;Standort;Straße;PLZ ;Straße;PLZ;Ort;Kostenfrei ?;Betreiber;Versorgungsbereich
Steglitz-Zehlendorf ;Ingeborg-Drewitz-Bibliothek;Grunewaldstr. 3;12165;Grunewaldstr. 3;12165;Berlin;J;HOTSPLOTS;Innenbereich
Tempelhof-Schöneberg ;Bezirkszentralbibliothek „Eva-Maria-Buch-Haus“ ;Götzstr. 8/10/12;12099;Götzstr. 8/10/12;12099;Berlin;J;HOTSPLOTS;Innenbereich
Tempelhof-Schöneberg ;"Mittelpunktbibliothek Schöneberg Theodor-Heuss-
Bibliothek";Hauptstr. 40;10827;Hauptstr. 40;10827;Berlin;J;HOTSPLOTS;Innenbereich
Tempelhof-Schöneberg ;Stadtteilbibliothek Lichtenrade Edith-Stein-Bibliothek;Briesingstr. 6;12307;Briesingstr. 6;12307;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Manfred-Bofinger-Bibliothek;Karl-Kunger-Str. 30;12435;Karl-Kunger-Str. 30;12435;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Mittelpunktbibliothek Treptow ;Winckelmannstraße 56;12487;Winckelmannstraße 56;12487;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Stadtteilbibliothek Adlershof ;Dörpfeldstrasse 54;12489;Dörpfeldstrasse 54;12489;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Stadtteilbibliothek Friedrichshagen ;Peter-Hille-Straße 1;12587;Peter-Hille-Straße 1;12587;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Mittelpunktbibliothek Köpenick;Alter Markt 2;12555;Alter Markt 2;12555;Berlin;J;HOTSPLOTS;Innenbereich
Mitte;Spandauer Str. / G.-Böß-Str. (hint. Roten Rath.);;;Spandauer Str. 29;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Spandauer Str. / K. - Liebknecht - Str.;;;Spandauer Str. 4;10178;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Krausnickstr. 1 / Oranienburger Str;;;Krausnickstraße 1;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Mühlendamm 1 - 2 / Molkenmarkt;;;Mühlendamm 1-2;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Gertraudenstr. / Fischerinsel (Ahornbl.);;;Gertraudenstraße 20;10178;Berlin ;J;Kabel Deutschland;Alexanderplatz
Mitte;Kurstr. (Spindlerbrunnen ) am Spittelmarkt;;;Kurstraße 22;10117;Berlin ;J;Kabel Deutschland;Alexanderplatz
Mitte;Neumannsgasse 1 / Breite Str.;;;Neumanngasse 1;10178;Berlin ;J;Kabel Deutschland;Alexanderplatz
Mitte;Münzstr. / Alte Schönhauser Str.;;;Alte Schönhauser Str. 29;10119;Berlin ;J;Kabel Deutschland;Hackescher Markt
Mitte;Alte Schönhauser / Mulackstr.;;;Mulackstraße 36-41;10119;Berlin ;J;Kabel Deutschland;Hackescher Markt
Mitte;Karl-Liebknechtstr. / Dirksenstr.;;;Karl-Liebknecht- Straße 13 A;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Karl-Liebknechtstr. 31.;;;Karl-Liebknechtstr. 31.;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Tucholskystr. 35 / Auguststr;;;Tucholskystraße 35;10117;Berlin ;J;Kabel Deutschland;Hackescher Markt
Mitte;Koppenplatz / Auguststr.;;;Koppenplatz 1-2;10115;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Tucholskystr. / Linienstr.;;;Tucholskystraße 48;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Rosenthaler Str. / Auguststr.;;;Auguststraße 44;10119;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Rosenthaler Str. / Sophienstr.;;;Rosenthalerstraße 31;10178;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Kl. Präsidentenstr. / Burgstr. (hint.S-Bahn.);;;Kleine Präsidentenstraße 4;10178;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Unter den Linden / Neustädtische Kirchstr.;;;Unter den Linden 40;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Dorotheenstr. / Neustädtische Kirchstr;;;Dorotheenstraße 74-76;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Dorotheenstr. / Wilhelmstr.;;;Dorotheenstraße 93;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Dorotheenstr. 35 / Charlottenstr.;;;Dorotheenstraße 35;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Am Weidendamm / Plankstr;;;Am Weidendamm 1 A;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Dorotheenstr. (ggü Maxim-Gorki-Theater);;;Dorotheenstraße 11;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Am Kupfergraben ggü  Bodemuseum;;;Am Kupfergraben 2;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Charlottenstr. 46;;;Charlottenstr. 38-46;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Brunnenstr. / Veteranenstr.;;;Veteranenstraße 27-28;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Anklamer Str. / Fehrbelliner Str.;;;Anklamer Straße 19-22;10115;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Weinbergsweg 1;;;Weinbergsweg 1;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Kastanienallee / Schwedter Str.;;;Kastanienallee 70;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Kastanienallee / Fehrbelliner Str.;;;Weinbergsweg 12-14;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Mohrenstr. 32 / Markgrafenstr.;;;Mohrenstraße 32;10117;Berlin;J;Kabel Deutschland;Gendarmenmarkt
Mitte;Charlottenstr. / Taubenstr.;;;Gendarmenmarkt;10117;Berlin;J;Kabel Deutschland;Gendarmenmarkt
Mitte;Französische Str. / Markgrafenstr.;;;Französische Straße 27 A;10117;Berlin;J;Kabel Deutschland;Gendarmenmarkt
Mitte;Karl - Marx - Allee 4;;;Karl - Marx - Allee 4;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Linienstr. / Oranienburger Str.;;;Linienstraße 134;10115;Berlin;J;Kabel Deutschland;Hackescher Markt
